iter	Logloss
0	0.6701849191
1	0.6493383092
2	0.6256146763
3	0.6022693917
4	0.5805364118
5	0.5609267578
6	0.5410872977
7	0.5238986468
8	0.5075532227
9	0.4908233119
10	0.4790190778
11	0.4634622628
12	0.4512868304
13	0.4375565709
14	0.4246394741
15	0.4111677595
16	0.4010231585
17	0.3925561872
18	0.3823841378
19	0.373351144
20	0.3637427107
21	0.3543300084
22	0.3447367118
23	0.3360492118
24	0.3267677176
25	0.3187953404
26	0.3108995536
27	0.3042111468
28	0.2962178781
29	0.2889797189
30	0.2813229806
31	0.2736943011
32	0.2679393485
33	0.262347726
34	0.257477853
35	0.2509093541
36	0.2453055594
37	0.2390048305
38	0.233885376
39	0.2284345703
40	0.2233820452
41	0.2197005964
42	0.215595738
43	0.2114085868
44	0.2079481201
45	0.204472447
46	0.2003598982
47	0.1959625767
48	0.1917295968
49	0.1875518799
50	0.1842517439
51	0.1810617501
52	0.1779895194
53	0.1752807268
54	0.1723703962
55	0.1701035854
56	0.1673710938
57	0.1654639544
58	0.1625662319
59	0.1602772391
60	0.1578761509
61	0.1557151576
62	0.1533487374
63	0.1512655901
64	0.149195452
65	0.1469706682
66	0.1457874581
67	0.1440177525
68	0.1426819981
69	0.141066258
70	0.1396314697
71	0.1384445452
72	0.1371486293
73	0.1355232108
74	0.134039263
75	0.1327431815
76	0.131616769
77	0.1302498343
78	0.1287999616
79	0.1278153076
80	0.1265346941
81	0.1252898821
82	0.1244036168
83	0.1233818534
84	0.1221367711
85	0.1212874233
86	0.1201978585
87	0.1192443412
88	0.1182586321
89	0.1175801479
90	0.1167660958
91	0.1161151559
92	0.1153200771
93	0.1145233503
94	0.1136188616
95	0.1125558908
96	0.1117795323
97	0.1109174282
98	0.1100279192
99	0.109307094
100	0.1086402675
101	0.1078253523
102	0.1070178048
103	0.106271371
104	0.1055920149
105	0.1050479388
106	0.104577689
107	0.1039351807
108	0.1033443604
109	0.1027253156
110	0.1022546474
111	0.1016905954
112	0.1010889369
113	0.1007612653
114	0.1002917219
115	0.09969414411
116	0.09925526646
117	0.09879804339
118	0.09845341274
119	0.09813703265
120	0.09776620047
121	0.09734576416
122	0.09698749651
123	0.09653092739
124	0.09619982038
125	0.09576872035
126	0.09537914167
127	0.09507202148
128	0.09470464216
129	0.09430403355
130	0.09399506487
131	0.09367211914
132	0.09333771624
133	0.09293434361
134	0.09262362235
135	0.09235104806
136	0.09204987444
137	0.09173982457
138	0.09148778425
139	0.09127723912
140	0.09092371477
141	0.0905993478
142	0.09042231097
143	0.09004636928
144	0.08977627128
145	0.08947943115
146	0.08929386684
147	0.08905007499
148	0.08878455462
149	0.08849079241
150	0.08826065499
151	0.08801864188
152	0.08778395299
153	0.08754482596
154	0.08732308524
155	0.08711744908
156	0.08688870675
157	0.086595738
158	0.08634750802
159	0.08622081648
160	0.08600674874
161	0.08584324428
162	0.08548498535
163	0.08527889579
164	0.08508830915
165	0.08495736258
166	0.08475081961
167	0.08457972063
168	0.08429112898
169	0.08408221436
170	0.08391842215
171	0.08369670759
172	0.08357321603
173	0.0834090489
174	0.08328565325
175	0.08307334682
176	0.08292098563
177	0.08280008371
178	0.08266269357
179	0.0825057809
180	0.08237751116
181	0.08218323626
182	0.08203974261
183	0.08189296177
184	0.08173250035
185	0.08158238002
186	0.08145183454
187	0.08130704171
188	0.08118985421
189	0.08102434431
190	0.08075278146
191	0.08056061663
192	0.08044058664
193	0.08032455008
194	0.0801940046
195	0.08006255232
196	0.07992498779
197	0.07983780343
198	0.07975399344
199	0.07965948486
200	0.07956108747
201	0.07949222238
202	0.07942431641
203	0.07928027344
204	0.07918336705
